ProductID,ProductName,Category,UnitPrice,ProductSKU,Condition
2000,Electronics-Be,Electronics,969.31,10211,New
2001,Electronics-Be,Clothing,412.35,10212,Used
2002,Office-Family,Clothing,866,10213,Used
2003,Electronics-Training,Clothing,385.18,10214,New
2004,Office-Where,Home,927.25,10215,Used
2005,Office-Huge,Home,428.78,10216,New
2006,Office-Class,Clothing,198,10217,Used
2007,Clothing-Over,Electronics,583.39,10218,Used
2008,Electronics-Skin,Home,66.59,10219,New
2009,Office-Raise,Clothing,66.31,10220,New
2010,Electronics-Themselves,Clothing,77.84,10221,Used
2011,Electronics-Religious,Clothing,409.74,10222,Used
2012,Clothing-Artist,Electronics,623.19,10223,New
2013,Office-Cultural,Home,935.36,10224,Used
2014,Clothing-Eat,Home,246.3,10225,New
2015,Office-Itself,Clothing,674.97,10226,Used
2016,Home-He,Office,323.02,10227,Used
2017,Electronics-Feeling,Electronics,463.7,10228,New
2018,Electronics-Nature,Electronics,542.26,10229,New
2019,Home-History,Clothing,933.93,10230,Used
2020,Electronics-Share,Clothing,375.83,10231,Used
2021,Clothing-Skill,Office,835.41,10232,New
2022,Home-Economy,Electronics,671.18,10233,Used
2023,Home-Yeah,Electronics,939.54,10234,New
2024,Clothing-Paper,Home,124.27,10235,Used
2025,Electronics-Assume,Clothing,279.62,10236,Used
2026,Clothing-Use,Home,211.56,10237,New
2027,Home-Purpose,Office,258.61,10238,New
2028,Electronics-Take,Electronics,637.94,10239,Used
2029,Home-Yourself,Electronics,13.51,10240,Used
2030,Clothing-First,Home,169.97,10241,New
2031,Office-Develop,Office,565.3,10242,Used
2032,Electronics-There,Electronics,945.6,10243,New
2033,Clothing-Argue,Electronics,836.25,10244,Used
2034,Clothing-Feel,Office,136.17,10245,Used
2035,Home-According,Home,899.99,10246,New
2036,Electronics-Candidate,Home,217.98,10247,New
2037,Clothing-Meeting,Electronics,360.14,10248,Used
2038,Office-Soon,Clothing,926.51,10249,Used
2039,Clothing-Need,Clothing,976.44,10250,New
2040,Clothing-Determine,Office,34.54,10251,Used
2041,Home-Assume,Office,804.21,10252,New
2042,Clothing-Lawyer,Home,167.61,10253,Used
2043,Electronics-Practice,Office,873.45,10254,Used
2044,Office-Society,Clothing,207.58,10255,New
2045,Office-Next,Home,312.14,10256,New
2046,Clothing-Worry,Clothing,33.43,10257,Used
2047,Clothing-Hair,Office,334.98,10258,Used
2048,Electronics-Candidate,Home,357.63,10259,New
2049,Office-Easy,Home,939.84,10260,Used
2050,Electronics-Young,Home,186.78,10261,New
2051,Home-Century,Electronics,117.32,10262,Used
2052,Office-Year,Home,731.26,10263,Used
2053,Home-Ground,Office,610.15,10264,New
2054,Electronics-Above,Office,900.51,10265,New
2055,Clothing-Politics,Home,53.94,10266,Used
2056,Office-About,Electronics,524.72,10267,Used
2057,Clothing-Identify,Home,436.98,10268,New
2058,Home-Wear,Home,666.75,10269,Used
2059,Electronics-Clear,Home,512.05,10270,New
2060,Office-Term,Home,408.38,10271,Used
2061,Home-Quite,Clothing,199.92,10272,Used
2062,Office-Receive,Clothing,619.36,10273,New
2063,Home-Good,Office,552.46,10274,New
2064,Electronics-Stop,Home,294.04,10275,New
2065,Office-Animal,Home,470.34,10276,Used
2066,Office-Occur,Clothing,516.06,10277,Used
2067,Clothing-Remain,Electronics,290.95,10278,New
2068,Home-Read,Electronics,820.24,10279,Used
2069,Clothing-Garden,Home,232.39,10280,New
2070,Clothing-About,Clothing,34.18,10281,Used
2071,Clothing-Success,Office,615.16,10282,Used
2072,Electronics-Become,Office,420.3,10283,New
2073,Clothing-Executive,Office,499.43,10284,New
2074,Clothing-Strong,Clothing,659.5,10285,Used
2075,Electronics-Letter,Electronics,780.64,10286,Used
2076,Clothing-Affect,Clothing,806.07,10287,New
2077,Office-Ball,Electronics,561.83,10288,Used
2078,Electronics-Film,Office,142.01,10289,New
2079,Office-Who,Home,950.54,10290,Used
2080,Office-Doctor,Office,832.26,10291,Used
2081,Office-Light,Clothing,746.22,10292,New
2082,Office-Figure,Office,266.6,10293,New
2083,Clothing-Cut,Home,768.16,10294,Used
2084,Office-Stuff,Clothing,281.85,10295,Used
2085,Electronics-Officer,Home,242.15,10296,New
2086,Home-Of,Home,894.1,10297,Used
2087,Electronics-Rather,Clothing,159.32,10298,New
2088,Office-Evening,Clothing,709.35,10299,Used
2089,Electronics-Action,Office,413.52,10300,Used
2090,Office-Staff,Office,71.64,10301,New
2091,Office-Mrs,Office,905.79,10302,New
2092,Electronics-Add,Office,482.21,10303,Used
2093,Home-Real,Home,755.94,10304,Used
2094,Office-Fight,Clothing,493.35,10305,New
2095,Home-Seem,Office,490.79,10306,Used
2096,Office-Discuss,Home,672.18,10307,New
2097,Office-Recent,Clothing,842.1,10308,Used
2098,Clothing-Trouble,Electronics,907.86,10309,Used
2099,Electronics-Several,Electronics,646.32,10310,New
